zona_inyeccion,zona_extraccion,capacidad_base_firme,uso_base_firme,capacidad_base_firme_temporal,uso_base_firme_temporal,capacidad_base_interrumpible,uso_base_interrumpible,volumetrica,fecha_inicio,fecha_fin,,,Precio Total
Sur,Istmo,9.05437,0.06405,9.11821,0.06405,9.02957,0.06405,10.41104,1/7/2017,30/09/2017,,,94.26540824
Occidente,Sur,0,0,0,0,0,0,0,1/7/2017,30/09/2017,,,0
Occidente,Centro,7.666,0.04943,7.71558,0.04943,7.63964,0.04943,8.38373,1/7/2017,30/09/2017,,,64.26967418
Occidente,Occidente,3.39032,0.01678,3.4071,0.01678,3.37348,0.01678,3.70816,1/7/2017,30/09/2017,,,12.57184901
Occidente,Golfo,12.89376,0.07917,12.97362,0.07917,12.84643,0.07917,14.10144,1/7/2017,30/09/2017,,,181.820583
Occidente,Norte,0,0,0,0,0,0,0,1/7/2017,30/09/2017,,,0
Occidente,Istmo,0,0,0,0,0,0,0,1/7/2017,30/09/2017,,,0
Golfo,Sur,7.02256,0.04687,7.07,0.04687,7.00105,0.04687,7.67956,1/7/2017,30/09/2017,,,53.93017087
Golfo,Centro,8.93676,0.06239,8.99984,0.06239,8.91188,0.06239,9.77321,1/7/2017,30/09/2017,,,87.3408322
Golfo,Occidente,12.89376,0.07917,12.97362,0.07917,12.84643,0.07917,14.10144,1/7/2017,30/09/2017,,,181.820583
Golfo,Golfo,4.66108,0.02974,4.69136,0.02974,4.64572,0.02974,5.09764,1/7/2017,30/09/2017,,,23.76050785
Golfo,Norte,11.65392,0.07795,11.73214,0.07795,11.61676,0.07795,12.7429,1/7/2017,30/09/2017,,,148.5047372
Golfo,Istmo,0,0,0,0,0,0,0,1/7/2017,30/09/2017,,,0
Norte,Sur,0,0,0,0,0,0,0,1/7/2017,30/09/2017,,,0
Norte,Centro,0,0,0,0,0,0,0,1/7/2017,30/09/2017,,,0
Norte,Occidente,0,0,0,0,0,0,0,1/7/2017,30/09/2017,,,0
Norte,Golfo,11.65392,0.07795,11.73214,0.07795,11.61676,0.07795,12.7429,1/7/2017,30/09/2017,,,148.5047372
Norte,Norte,6.42616,0.04821,6.4741,0.04821,6.40997,0.04821,7.02519,1/7/2017,30/09/2017,,,45.14499497
Norte,Istmo,0,0,0,0,0,0,0,1/7/2017,30/09/2017,,,0
Sur,Sur,1.63825,0.01713,1.65541,0.01713,1.63926,0.01713,1.79053,1/10/2017,31/12/2017,,,2.933335773
Sur,Centro,11.14169,0.07952,11.22193,0.07952,11.11221,0.07952,12.18381,1/10/2017,31/12/2017,,,135.748234
Sur,Occidente,15.09869,0.0963,15.19571,0.0963,15.04676,0.0963,16.51204,1/10/2017,31/12/2017,,,249.3101732
Sur,Golfo,6.86601,0.04687,6.91345,0.04687,6.84605,0.04687,7.50824,1/10/2017,31/12/2017,,,51.55165092
Sur,Norte,13.85885,0.09508,13.95423,0.09508,13.81709,0.09508,15.1535,1/10/2017,31/12/2017,,,210.0100835
Sur,Istmo,8.89782,0.06405,8.96166,0.06405,8.87457,0.06405,10.23972,1/10/2017,31/12/2017,,,91.11118541
Occidente,Sur,0,0,0,0,0,0,0,1/10/2017,31/12/2017,,,0
Occidente,Centro,7.50945,0.04943,7.55903,0.04943,7.48464,0.04943,8.21241,1/10/2017,31/12/2017,,,61.67068227
Occidente,Occidente,3.23377,0.01678,3.25055,0.01678,3.21848,0.01678,3.53684,1/10/2017,31/12/2017,,,11.43732709
